fare_id,route_id,origin_id,destination_id
F0, ,SAP,SAP
F1, ,SME,SAP
F2, ,SOT,SAP
F2, ,SAL,SAP
F3, ,SGU,SAP
F3, ,SLM,SAP
F3, ,SSA,SAP
F3, ,SCR,SAP
F3, ,STE,SAP
F4, ,SGM,SAP
F4, ,STL,SAP
F4, ,SLI,SAP
F4, ,SGE,SAP
F4, ,SCC,SAP
F4, ,SHC,SAP
F4, ,SMA,SAP
F5, ,SWA,SAP
F3, ,SSI,SAP
F3, ,SAN,SAP
F3, ,SVA,SAP
F3, ,SAR,SAP
F4, ,SCM,SAP
F4, ,SKO,SAP
F4, ,STI,SAP
F4, ,SAT,SAP
F4, ,SAE,SAP
F4, ,SSN,SAP
F4, ,SPC,SAP
F5, ,SKM,SAP
F4, ,SNP,SAP
F4, ,SEG,SAP
F3, ,SMM,SAP
F5, ,STC,SAP
F5, ,STR,SAP
F5, ,SNW,SAP
F5, ,STG,SAP
F5, ,SKP,SAP
F5, ,STT,SAP
F5, ,STV,SAP
F5, ,SWN,SAP
F1, ,SAP,SME
F0, ,SME,SME
F2, ,SOT,SME
F2, ,SAL,SME
F2, ,SGU,SME
F3, ,SLM,SME
F3, ,SSA,SME
F3, ,SCR,SME
F3, ,STE,SME
F3, ,SGM,SME
F4, ,STL,SME
F4, ,SLI,SME
F4, ,SGE,SME
F4, ,SCC,SME
F4, ,SHC,SME
F4, ,SMA,SME
F4, ,SWA,SME
F2, ,SSI,SME
F3, ,SAN,SME
F3, ,SVA,SME
F3, ,SAR,SME
F3, ,SCM,SME
F4, ,SKO,SME
F4, ,STI,SME
F4, ,SAT,SME
F4, ,SAE,SME
F4, ,SSN,SME
F4, ,SPC,SME
F4, ,SKM,SME
F4, ,SNP,SME
F4, ,SEG,SME
F2, ,SMM,SME
F5, ,STC,SME
F5, ,STR,SME
F5, ,SNW,SME
F5, ,STG,SME
F5, ,SKP,SME
F5, ,STT,SME
F5, ,STV,SME
F5, ,SWN,SME
F2, ,SAP,SOT
F2, ,SME,SOT
F0, ,SOT,SOT
F1, ,SAL,SOT
F2, ,SGU,SOT
F2, ,SLM,SOT
F2, ,SSA,SOT
F3, ,SCR,SOT
F3, ,STE,SOT
F3, ,SGM,SOT
F3, ,STL,SOT
F3, ,SLI,SOT
F4, ,SGE,SOT
F4, ,SCC,SOT
F4, ,SHC,SOT
F4, ,SMA,SOT
F4, ,SWA,SOT
F2, ,SSI,SOT
F2, ,SAN,SOT
F3, ,SVA,SOT
F3, ,SAR,SOT
F3, ,SCM,SOT
F3, ,SKO,SOT
F4, ,STI,SOT
F4, ,SAT,SOT
F4, ,SAE,SOT
F4, ,SSN,SOT
F4, ,SPC,SOT
F4, ,SKM,SOT
F4, ,SNP,SOT
F4, ,SEG,SOT
F2, ,SMM,SOT
F4, ,STC,SOT
F4, ,STR,SOT
F5, ,SNW,SOT
F5, ,STG,SOT
F5, ,SKP,SOT
F5, ,STT,SOT
F5, ,STV,SOT
F5, ,SWN,SOT
F2, ,SAP,SAL
F2, ,SME,SAL
F1, ,SOT,SAL
F0, ,SAL,SAL
F1, ,SGU,SAL
F2, ,SLM,SAL
F2, ,SSA,SAL
F3, ,SCR,SAL
F3, ,STE,SAL
F3, ,SGM,SAL
F3, ,STL,SAL
F3, ,SLI,SAL
F3, ,SGE,SAL
F4, ,SCC,SAL
F4, ,SHC,SAL
F4, ,SMA,SAL
F4, ,SWA,SAL
F1, ,SSI,SAL
F2, ,SAN,SAL
F3, ,SVA,SAL
F3, ,SAR,SAL
F3, ,SCM,SAL
F3, ,SKO,SAL
F3, ,STI,SAL
F3, ,SAT,SAL
F4, ,SAE,SAL
F4, ,SSN,SAL
F4, ,SPC,SAL
F4, ,SKM,SAL
F4, ,SNP,SAL
F4, ,SEG,SAL
F1, ,SMM,SAL
F4, ,STC,SAL
F4, ,STR,SAL
F4, ,SNW,SAL
F5, ,STG,SAL
F5, ,SKP,SAL
F5, ,STT,SAL
F5, ,STV,SAL
F5, ,SWN,SAL
F3, ,SAP,SGU
F2, ,SME,SGU
F2, ,SOT,SGU
F1, ,SAL,SGU
F0, ,SGU,SGU
F1, ,SLM,SGU
F2, ,SSA,SGU
F2, ,SCR,SGU
F2, ,STE,SGU
F3, ,SGM,SGU
F3, ,STL,SGU
F3, ,SLI,SGU
F3, ,SGE,SGU
F3, ,SCC,SGU
F4, ,SHC,SGU
F4, ,SMA,SGU
F4, ,SWA,SGU
F2, ,SSI,SGU
F2, ,SAN,SGU
F3, ,SVA,SGU
F3, ,SAR,SGU
F3, ,SCM,SGU
F3, ,SKO,SGU
F4, ,STI,SGU
F4, ,SAT,SGU
F4, ,SAE,SGU
F4, ,SSN,SGU
F4, ,SPC,SGU
F4, ,SKM,SGU
F4, ,SNP,SGU
F4, ,SEG,SGU
F2, ,SMM,SGU
F4, ,STC,SGU
F4, ,STR,SGU
F4, ,SNW,SGU
F4, ,STG,SGU
F4, ,SKP,SGU
F5, ,STT,SGU
F5, ,STV,SGU
F5, ,SWN,SGU
F3, ,SAP,SLM
F3, ,SME,SLM
F2, ,SOT,SLM
F2, ,SAL,SLM
F1, ,SGU,SLM
F0, ,SLM,SLM
F1, ,SSA,SLM
F2, ,SCR,SLM
F2, ,STE,SLM
F2, ,SGM,SLM
F3, ,STL,SLM
F3, ,SLI,SLM
F3, ,SGE,SLM
F3, ,SCC,SLM
F3, ,SHC,SLM
F4, ,SMA,SLM
F4, ,SWA,SLM
F2, ,SSI,SLM
F3, ,SAN,SLM
F3, ,SVA,SLM
F3, ,SAR,SLM
F3, ,SCM,SLM
F3, ,SKO,SLM
F4, ,STI,SLM
F4, ,SAT,SLM
F4, ,SAE,SLM
F4, ,SSN,SLM
F4, ,SPC,SLM
F4, ,SKM,SLM
F4, ,SNP,SLM
F3, ,SEG,SLM
F2, ,SMM,SLM
F4, ,STC,SLM
F4, ,STR,SLM
F4, ,SNW,SLM
F4, ,STG,SLM
F4, ,SKP,SLM
F4, ,STT,SLM
F5, ,STV,SLM
F5, ,SWN,SLM
F3, ,SAP,SSA
F3, ,SME,SSA
F2, ,SOT,SSA
F2, ,SAL,SSA
F2, ,SGU,SSA
F1, ,SLM,SSA
F0, ,SSA,SSA
F1, ,SCR,SSA
F2, ,STE,SSA
F2, ,SGM,SSA
F3, ,STL,SSA
F3, ,SLI,SSA
F3, ,SGE,SSA
F3, ,SCC,SSA
F3, ,SHC,SSA
F3, ,SMA,SSA
F4, ,SWA,SSA
F3, ,SSI,SSA
F3, ,SAN,SSA
F3, ,SVA,SSA
F3, ,SAR,SSA
F3, ,SCM,SSA
F4, ,SKO,SSA
F4, ,STI,SSA
F4, ,SAT,SSA
F4, ,SAE,SSA
F4, ,SSN,SSA
F4, ,SPC,SSA
F4, ,SKM,SSA
F3, ,SNP,SSA
F3, ,SEG,SSA
F3, ,SMM,SSA
F4, ,STC,SSA
F4, ,STR,SSA
F4, ,SNW,SSA
F4, ,STG,SSA
F4, ,SKP,SSA
F4, ,STT,SSA
F4, ,STV,SSA
F5, ,SWN,SSA
F3, ,SAP,SCR
F3, ,SME,SCR
F3, ,SOT,SCR
F3, ,SAL,SCR
F2, ,SGU,SCR
F2, ,SLM,SCR
F1, ,SSA,SCR
F0, ,SCR,SCR
F1, ,STE,SCR
F1, ,SGM,SCR
F2, ,STL,SCR
F2, ,SLI,SCR
F3, ,SGE,SCR
F3, ,SCC,SCR
F3, ,SHC,SCR
F3, ,SMA,SCR
F3, ,SWA,SCR
F3, ,SSI,SCR
F3, ,SAN,SCR
F3, ,SVA,SCR
F4, ,SAR,SCR
F4, ,SCM,SCR
F4, ,SKO,SCR
F4, ,STI,SCR
F4, ,SAT,SCR
F4, ,SAE,SCR
F4, ,SSN,SCR
F3, ,SPC,SCR
F3, ,SKM,SCR
F3, ,SNP,SCR
F3, ,SEG,SCR
F3, ,SMM,SCR
F4, ,STC,SCR
F4, ,STR,SCR
F4, ,SNW,SCR
F4, ,STG,SCR
F4, ,SKP,SCR
F4, ,STT,SCR
F4, ,STV,SCR
F4, ,SWN,SCR
F3, ,SAP,STE
F3, ,SME,STE
F3, ,SOT,STE
F3, ,SAL,STE
F2, ,SGU,STE
F2, ,SLM,STE
F2, ,SSA,STE
F1, ,SCR,STE
F0, ,STE,STE
F1, ,SGM,STE
F2, ,STL,STE
F2, ,SLI,STE
F2, ,SGE,STE
