stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,platform_code
201_1,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO,B2 ENTRANCE STAIRCASE (NEAR BY ESCALATOR DN/UP),13.0817803972222,80.273549025,SCC,0,104,5
202_1,EGMORE METRO,A2 ENTRANCE PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT),13.0787793472222,80.2611040055556,SEG,0,202,2
203_1,NEHRU PARK,A2 ENTRANCE STAIRCASE (NEAR BY ESCALATOR) ,13.0789291166667,80.2508745944444,SNP,0,203,2
204_1,KILPAUK,B1 ENTRANCE STAIRCASE ,13.0773447833333,80.2422100777778,SKM,0,204,4
205_1,PACHAIYAPPA,A2 ENTRANCE STAIRCASE (NEAR BY ESCALATOR) ,13.0759689027778,80.2334446722222,SPC,0,205,2
206_1,SHENOY NAGAR,B1 ENTRANCE PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT),13.0797144833333,80.2246325444445,SSN,0,206,4
207_1,ANNA NAGAR EAST,A1 ENTRANCE PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT) ,13.08472565,80.2200532833333,SAE,0,207,1
208_1,ANNA NAGAR TOWER,B3 ENTRANCE STAIRCASE,13.085177025,80.2084864833333,SAT,0,208,6
209_1,THIRUMANGALAM,A4 ENTRANCE PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT),13.0849977444444,80.2022091833333,STI,0,209,4
210_1,KOYAMBEDU,D ENTRANCE STAIRCASE ,13.0753311583333,80.1950661555556,SKO,0,210,4
211_1,PURATCHI THALAIVI DR.J.JAYALALITHAA CMBT METRO,D ENTRANCE PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT),13.0682418194444,80.204118675,SCM,0,211,4
212_1,ARUMBAKKAM,C ENTRANCE STAIRCASE ( NEAR BY LIFT),13.0618486722222,80.2119176666667,SAR,0,212,3
213_1,VADAPALANI,B ENTRANCE STAIRCASE & PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT) ,13.0510565027778,80.2116814472222,SVA,0,213,2
214_1,ASHOK NAGAR,C ENTRANCE STAIRCASE ,13.0353419472222,80.2106365111111,SAN,0,214,4
215_1,EKKATTUTHANGAL,A1 ENTRANCE STAIRCASE & PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT) ,13.0171069333333,80.2056878416667,SSI,0,215,2
216_1,ARIGNAR ANNA ALANDUR,C ENTRANCE (NEAR TO PHYSICALLY CHALLENGED RAMP & STAIRCASE) ,13.0037219694444,80.2015436111111,SAL,0,114,3
217_1,ST.THOMAS MOUNT,,12.9947486116903,80.1975543240622,SMM,0,217,1
217_2,ST.THOMAS MOUNT,A ENTRANCE STAIRCASE & PHYSICALLY CHALLENGED RAMP ( NEAR BY ESCALATOR & LIFT),12.9951379916667,80.1981200388889,SMM,0,217,1
101_1,WASHERMENPET METRO,B1 ENTRANCE STAIRCASE & PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT) ,13.1065732611111,80.2807641305556,SWA,0,101,3
102_1,MANNADI,A1A ENTRANCE PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT),13.0958973555556,80.2859951555556,SMA,0,102,1
103_1,HIGH COURT,A1 ENTRANCE STAIRCASE (NEAR BY ESCALATOR) ,13.087862625,80.2853305666667,SHC,0,103,1
104_1,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO,A2 ENTRANCE STAIRCASE (NEAR BY ESCALATOR DN/UP),13.081145525,80.2746470916667,SCC,0,104,2
105_1,GOVERNMENT ESTATE,A2 ENTRANCE STAIRCASE ,13.0700436166667,80.2735028972222,SGE,0,105,2
106_1,LIC,A3 ENTRANCE STAIRCASE (NEAR BY ESCALATOR DN/UP) ,13.0654037333333,80.2665774111111,SLI,0,106,3
107_1,THOUSAND LIGHTS,A4 ENTRANCE STAIRCASE (NEAR BY ESCALATOR),13.0593679111111,80.2594745361111,STL,0,107,4
108_1,AG-DMS,A1 ENTRANCE STAIRCASE (NEAR BY ESCALATOR DN/UP) ,13.0459403916667,80.2485366833333,SGM,0,108,1
109_1,TEYNAMPET,A3 ENTRANCE STAIRCASE (NEAR BY ESCALATOR) ,13.03782035,80.2464093694445,STE,0,109,3
110_1,NANDANAM,B3 ENTRANCE STAIRCASE & PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT),13.03112925,80.2403598694445,SCR,0,110,6
111_1,SAIDAPET METRO,A3 ENTRANCE PHYSICALLY CHALLENGED RAMP (NEAR BY LIFT) ,13.024027175,80.2286365,SSA,0,111,3
112_1,LITTLE MOUNT,A ENTRANCE (NEAR BY STAIRCASE / LIFT & PHYSICALLY CHALLENGED RAMP) ,13.0145466944444,80.2242479861111,SLM,0,112,1
113_1,GUINDY METRO,B ENTRANCE STAIRCASE  ,13.0093688305556,80.2134394388889,SGU,0,113,1
114_1,ARIGNAR ANNA ALANDUR,B ENTRANCE STAIRCASE (NEAR BY PHYSICALLY CHALLENGED RAMP) ,13.0038844361111,80.2011999361111,SAL,0,114,2
115_1,NANGANALLUR ROAD,A2 ENTRANCE STAIRCASE (NEAR BY LIFT),12.9996830055556,80.1940575722222,SOT,0,115,2
116_1,MEENAMBAKKAM METRO,B1 ENTRANCE STAIRCASE ,12.987600875,80.1760309111111,SME,0,116,3
117_1,AIRPORT,B1  ENTRANCE STAIRCASE  ,12.9815929833333,80.1639009,SAP,0,117,2
201_2,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO,B1A ENTRANCE LIFT (NEAR BY PHYSICALLY CHALLENGED RAMP),13.0809485527778,80.27333085,SCC,0,104,4
202_2,EGMORE METRO,A3 ENTRANCE STAIRCASE (NEAR BY ESCALATOR) ,13.0787863861111,80.2604038166667,SEG,0,202,3
203_2,NEHRU PARK,A3 ENTRANCE STAIRCASE (NEAR BY ESCALATOR) ,13.0786475222222,80.2509332666667,SNP,0,203,3
204_2,KILPAUK,B2 ENTRANCE PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT),13.0778028361111,80.2422920527778,SKM,0,204,5
205_2,PACHAIYAPPA,A1 ENTRANCE PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT),13.0757759472222,80.2329351805556,SPC,0,205,1
206_2,SHENOY NAGAR,B2 ENTRANCE STAIRCASE (NEAR BY ESCALATOR) ,13.0797954388889,80.2245367166667,SSN,0,206,5
207_2,ANNA NAGAR EAST,B1 ENTRANCE PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT) ,13.0844480361111,80.2190418666667,SAE,0,207,4
208_2,ANNA NAGAR TOWER,B1 ENTRANCE STAIRCASE ( NEAR BY LIFT & PHYSICALLY CHALLENGED RAMP),13.0848153916667,80.2084081388889,SAT,0,208,4
209_2,THIRUMANGALAM,B2 ENTRANCE STAIRCASE ,13.08543805,80.2009501583333,STI,0,209,6
210_2,KOYAMBEDU,D1 ENTRANCE PHYSICALLY CHALLENGED RAMP ( NEAR BY LIFT),13.0752400555556,80.1950214583333,SKO,0,210,4
