from_stop_id,to_stop_id,from_route_id,to_route_id,transfer_type
216_2,216_1,24217,17201,0
216_2,216_1,23117,17201,0
216_1,216_1,2201,17201,0

114_1,216_1,1101,17201,0
216_1,216_2,17201,24217,0
216_2,216_2,23117,24217,0
216_1,216_2,2201,24217,0

114_1,216_2,1101,24217,0
216_1,216_2,17201,23117,0
216_2,216_2,24217,23117,0
216_1,216_2,2201,23117,0

114_1,216_2,1101,23117,0
216_1,216_1,17201,2201,0
216_2,216_1,24217,2201,0
216_2,216_1,23117,2201,0

114_1,216_1,1101,2201,0




216_1,114_1,17201,1101,0
216_2,114_1,24217,1101,0
216_2,114_1,23117,1101,0
216_1,114_1,2201,1101,0

201_1,201_1,24217,17201,0
201_2,201_1,23117,17201,0
201_2,201_1,2201,17201,0

104_1,201_1,1101,17201,0
201_1,201_1,17201,24217,0
201_2,201_1,23117,24217,0
201_2,201_1,2201,24217,0

104_1,201_1,1101,24217,0
201_1,201_2,17201,23117,0
201_1,201_2,24217,23117,0
201_2,201_2,2201,23117,0

104_1,201_2,1101,23117,0
201_1,201_2,17201,2201,0
201_1,201_2,24217,2201,0
201_2,201_2,23117,2201,0

104_1,201_2,1101,2201,0
201_1,160_1,17201,109117,0
201_1,160_1,24217,109117,0
201_2,160_1,23117,109117,0
201_2,160_1,2201,109117,0
104_1,160_1,1101,109117,0
201_1,104_1,17201,1101,0
201_1,104_1,24217,1101,0
201_2,104_1,23117,1101,0
201_2,104_1,2201,1101,0

160_1,201_1,109117,17201,0
160_1,201_1,109117,24217,0
160_1,201_2,109117,23117,0
160_1,201_2,109117,2201,0
160_1,104_1,109117,1101,0




