route_id,service_id,trip_id,trip_headsign,shape_id

141142,WD,WD1410101,Airport,sh19
109117,WD,WD1090102,Wimco Nagar Metro,sh18
141142,WD,WD1410103,Airport,sh19
109117,WD,WD1090104,Wimco Nagar Metro,sh18
141142,WD,WD1410105,Airport,sh19
109117,WD,WD1090106,Wimco Nagar Metro,sh18
141142,WD,WD1410107,Airport,sh19
109117,WD,WD1090108,Wimco Nagar Metro,sh18
141142,WD,WD1410109,Airport,sh19
109117,WD,WD1090110,Wimco Nagar Metro,sh18
141142,WD,WD1410111,Airport,sh19
109117,WD,WD1090112,Wimco Nagar Metro,sh18
141142,WD,WD1410113,Airport,sh19
109117,WD,WD1090114,Wimco Nagar Metro,sh18
141142,WD,WD1410115,Airport,sh19
109117,WD,WD1090116,Wimco Nagar Metro,sh18
141142,WD,WD1410117,Airport,sh19
23214,WD,WD0230201,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
2201,WD,WD0020202,Airport,sh13
23117,WD,WD0230203,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
2201,WD,WD0020204,Airport,sh13
23117,WD,WD0230205,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
2201,WD,WD0020206,Airport,sh13
23117,WD,WD0230207,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
2201,WD,WD0020208,Airport,sh13
23117,WD,WD0230209,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
2201,WD,WD0020210,Airport,sh13
23117,WD,WD0230211,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
2201,WD,WD0020212,Airport,sh13
23117,WD,WD0230213,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
2201,WD,WD0020214,Airport,sh13
23117,WD,WD0230215,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
2201,WD,WD0020216,Airport,sh13
23117,WD,WD0230217,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
2201,WD,WD0020218,Airport,sh13
23117,WD,WD0230219,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
2201,WD,WD0020220,Airport,sh13
102146,WD,WD1020301,Wimco Nagar Metro,sh18
141142,WD,WD1410302,Airport,sh19
109117,WD,WD1090303,Wimco Nagar Metro,sh18
141142,WD,WD1410304,Airport,sh19
109117,WD,WD1090305,Wimco Nagar Metro,sh18
141142,WD,WD1410306,Airport,sh19
109117,WD,WD1090307,Wimco Nagar Metro,sh18
141142,WD,WD1410308,Airport,sh19
109117,WD,WD1090309,Wimco Nagar Metro,sh18
141142,WD,WD1410310,Airport,sh19
109117,WD,WD1090311,Wimco Nagar Metro,sh18
141142,WD,WD1410312,Airport,sh19
109117,WD,WD1090313,Wimco Nagar Metro,sh18
141142,WD,WD1410314,Airport,sh19
109117,WD,WD1090315,Wimco Nagar Metro,sh18
141142,WD,WD1410316,Airport,sh19
109117,WD,WD1090317,Wimco Nagar Metro,sh18
141142,WD,WD1410318,Airport,sh19
1108,WD,WD0010401,Airport,sh19
109117,WD,WD1090402,Wimco Nagar Metro,sh18
141142,WD,WD1410403,Airport,sh19
109117,WD,WD1090404,Wimco Nagar Metro,sh18
141142,WD,WD1410405,Airport,sh19
109117,WD,WD1090406,Wimco Nagar Metro,sh18
141142,WD,WD1410407,Airport,sh19
109117,WD,WD1090408,Wimco Nagar Metro,sh18
141142,WD,WD1410409,Airport,sh19
109117,WD,WD1090410,Wimco Nagar Metro,sh18
141142,WD,WD1410411,Airport,sh19
109117,WD,WD1090412,Wimco Nagar Metro,sh18
141142,WD,WD1410413,Airport,sh19
