route_id,route_short_name,route_long_name,route_desc,route_type
yxjeqyBB, 570, 570, route travels from Kelambakkam Bus Terminal to CMBT Koyembedu Bus Depot, 3
DSKNDDIU, 114S, 114S, route travels from Seemapuram to Koyambedu Market, 3
ttgthNCD, 37, 37, route travels from Mint Bus Terminal Or Vallalar Nagar to Poonamallee Terminus, 3
NIPOAfQi, 50M, 50M, route travels from Thiruverkadu Terminus to Broadway, 3
sHyFNCQB, 56T, 56T, route travels from Athipattu Railway Station to Broadway, 3
EAmBiqQk, 99X, 99X, route travels from Kilambakkam Bus Terminus to Adyar Old Depot, 3
WvIXAwhH, 7M, 7M, route travels from J J Nagar West Terminus to Broadway, 3
ujwhiVYx, T29C, T29C, route travels from Thiruvanmiyur Depot to Perambur Bus Terminus, 3
knBrchuM, 51T, 51T, route travels from Madurapakkam to Thiyagaraya Nagar Bus Depot, 3
SRIdKEam, S42, S42, route travels from Maduravoyal Yerikarai to Korattur Bus Terminus, 3
DEqJBNdR, 583A, 583A, route travels from Thiruvallur Terminal to Sriperumbudur Bus Terminal, 3
FuiNPJgX, 142B, 142B, route travels from Broadway to Peravallur Kumaran Nagar, 3
TcAjIBNv, 65D, 65D, route travels from Melakondaiyur to Avadi Terminal, 3
TdSEzMYd, 72M, 72M, route travels from Thiruverkadu Terminus to Thiyagaraya Nagar Bus Depot, 3
qKuJqSNy, 121D, 121D, route travels from Manali New Town Bus Stand to CMBT Koyembedu Bus Depot, 3
dbcQKxae, M18C, M18C, route travels from Kilkattalai to Thiyagaraya Nagar Bus Depot, 3
qRLNFQvE, S31, S31, route travels from Vadapalani Bus Stand to CMBT Koyembedu Bus Depot, 3
UtlEIsZF, 78, 78, route travels from CMBT Koyembedu Bus Depot to Thiruvanmiyur Depot, 3
shUBotlY, 121MET, 121MET, route travels from CMBT Koyembedu Bus Depot to Manali Bus Terminal, 3
DVZfWDEa, 188ET, 188ET, route travels from Broadway to Kundrathur Bus Depot, 3
lOIMjTrd, 28, 28, route travels from Thiruvottiyur Bus Stand to Egmore North Railway Station, 3
RnrzrCkA, 593CT, 593CT, route travels from Redhills Bus Terminus to Chennang Karanai, 3
aqhekrvb, 5B, 5B, route travels from Thiyagaraya Nagar Bus Depot to Mylapore Tank, 3
kKWlPFYA, M18, M18, route travels from Kilambakkam Bus Terminus to Tambaram West Bus Stand, 3
ncVZAXuS, D70, D70, route travels from Ambattur Industrial Estate to Velachery, 3
pJDiRIrv, 19A, 19A, route travels from Semmancheri Bus Stand to Thiyagaraya Nagar Bus Depot, 3
jouxVtZc, 20A, 20A, route travels from Broadway to J J Nagar East Terminus, 3
oxgeMycb, 55G, 55G, route travels from Vengambakkam Village to Tambaram West Bus Stand, 3
LGxAcQwG, S36, S36, route travels from AG DMS Metro Station to Nungambakkam Railway Station, 3
pWepmxeL, 142B, 142B, route travels from Peravallur Kumaran Nagar to Broadway, 3
BFxRgrXU, 523A, 523A, route travels from Thiruvanmiyur Depot to Thiruvadaisoolam Devi Karumariamman Koil, 3
MmyYSiVW, S5, S5, route travels from Secretariat to Fort Railway Station, 3
gPwRmVGG, 65H, 65H, route travels from Redhills Bus Terminus to Avadi Terminal, 3
VeDBxOOg, 147V, 147V, route travels from Thirumullaivoyal Venkatachalam Nagar to Thiyagaraya Nagar Bus Depot, 3
WtfjSnoy, 154B, 154B, route travels from Nanganallur Bus Terminus to Poonamallee, 3
pJUwepTi, 121D, 121D, route travels from CMBT Koyembedu Bus Depot to Manali New Town Bus Stand, 3
lAUOuEmq, 71D, 71D, route travels from Broadway to Pudur, 3
PmSlLEUv, S35, S35, route travels from Udhayam Theatre Or Ashok Pillar to Defence Colony, 3
NamZccnc, 46G, 46G, route travels from Mullai Nagar Bus Stand to CMBT Koyembedu Bus Depot, 3
CHswzpil, 70C, 70C, route travels from Tambaram West Bus Stand to Koyambedu Market Or Police Station, 3
HFZvEuLO, 8ACT, 8ACT, route travels from Thangal Toll Gate to Mint Bus Terminal Or Vallalar Nagar, 3
GpHWezHK, 18D, 18D, route travels from Broadway to Kilkattalai, 3
KylmBVyW, 221CT, 221CT, route travels from Perumbakkam to Broadway, 3
JxAZGcUj, 523, 523, route travels from Thiruvanmiyur Depot to Thandarai Or Perunthandalam, 3
FmEzWnYl, 49F, 49F, route travels from Mandaveli Bus Terminus to Poonamallee Terminus, 3
PsdnwXhe, S76, S76, route travels from Thiyagaraya Nagar Bus Depot to ST Thomas Mount MRTS, 3
bCXzaQBK, 109, 109, route travels from Broadway to Kovalam Bus Stand, 3
aPUyJDbS, 109C, 109C, route travels from Kovalam Bus Stand to Thiruvanmiyur Depot, 3
FNvyAxzW, 20P, 20P, route travels from Poonamallee Terminus to Ambattur Industrial Estate, 3
nfFIKGjN, 57E, 57E, route travels from Vichoor to Redhills Bus Terminus, 3
tuDAIREe, 57C, 57C, route travels from Mint Bus Terminal Or Vallalar Nagar to Arumandai Road Junction, 3
grzNJTSE, 570C, 570C, route travels from Kannagi Nagar Bus Stand to CMBT Koyembedu Bus Depot, 3
KusekvAt, M1A, M1A, route travels from Thiruvanmiyur Depot to Nanganallur Bus Terminus, 3
fwtpCyxk, 40L, 40L, route travels from J J Nagar West Terminus to Anna Square, 3
DCqokGgM, 7E, 7E, route travels from Broadway to Ambattur Industrial Estate, 3
